,Date,Headline
0,2019-08-23,"Apple’s Watch Is Smarter, but My Casio Keeps Getting the Job Done"
4,2019-08-09,Russia Opens Antitrust Inquiry Into App Restriction at Apple
6,2019-08-09,Apple Transforms Central Park Into an Augmented Reality Gallery
11,2019-07-30,"Apple Reports Declining Profits and Stagnant Growth, Again"
12,2019-07-30,Your Next iPhone Might Be Made in Vietnam. Thank the Trade War.
13,2019-07-26,Trump Escalates Feud With Apple and Threatens Tariffs on France
14,2019-07-25,Apple Pays $1 Billion for Part of Intel’s Modem Business
17,2019-07-16,"Tech Hearings: Congress Unites to Take Aim at Amazon, Apple, Facebook and Google"
24,2019-06-29,Apple Watch Hasn’t Crushed the Swiss. Not Yet.
25,2019-06-28,Apple to Manufacture New Mac Pro Computer in China Instead of U.S.
26,2019-06-27,"Jony Ive, Designer Who Made Apple Look Like Apple, Is Leaving to Start a Firm"
28,2019-06-21,Taiwan’s iPhone Tycoon Walks a Fraught U.S.-China Line in His Presidential Run
40,2019-06-04,Inside Apple’s Earthquake-Ready Headquarters
41,2019-06-04,Apple Backs Off Crackdown on Parental-Control Apps
44,2019-06-03,"Apple’s WWDC Highlights: the Death of iTunes and $6,000 Macs"
48,2019-06-01,"The Week in Business: A Surprise Tariff War, and the Future of iPhone Screens"
50,2019-05-30,Apps Purged by Apple Say It Holds the Key They Need to Get Back In
56,2019-05-13,Supreme Court Allows Antitrust Lawsuit Against Apple to Proceed
58,2019-05-02,Why Does Apple Control Its Competitors?
61,2019-04-30,Apple’s Plan to Buy $75 Billion of Its Stock Fuels Spending Debate
62,2019-04-27,Apple Cracks Down on Apps That Fight iPhone Addiction
68,2019-04-17,DealBook Briefing: Apple and Qualcomm Kiss and Make Up
69,2019-04-16,Apple and Qualcomm Settle All Disputes Worldwide
71,2019-04-13,The Week in Business: Uber’s Bumpy Ride and Apple’s Star-Studded Trial
72,2019-04-13,Apple and Qualcomm’s Global Fight Heads to Court in San Diego
77,2019-04-06,"Scheme to Swap Fake iPhones Adds Up to $900,000 Loss for Apple, Prosecutors Say"
79,2019-04-06,It’s Your iPhone. Why Can’t You Fix It Yourself?
80,2019-04-03,The Incredible Shrinking Apple
82,2019-04-02,Media Companies Take a Big Gamble on Apple
83,2019-04-03,"Apple AirPods Review: Perfect Earbuds, but They Don’t Last"
84,2019-04-01,"Saudi Aramco Is World’s Most Profitable Company, Beating Apple by Far"
85,2019-04-01,DealBook Briefing: Aramco Makes More Money Than Apple and Alphabet Combined
0,2020-01-13,Barr Accuses Apple of Giving No ‘Substantive Assistance’ in Pensacola Investigation
1,2020-01-17,Does the F.B.I. Need Apple to Hack Into iPhones?
2,2020-01-14,Apple Takes a (Cautious) Stand Against Opening a Killer’s iPhones
4,2020-01-13,"Barr Asks Apple to Unlock Pensacola Killer’s Phones, Setting Up Clash"
9,2020-01-07,F.B.I. Asks Apple to Help Unlock Two iPhones
25,2019-12-11,Apple AirPods Pro Review: The ‘Hearable’ at Its Best
28,2019-12-06,"Why Apple Scrapped the Release of Its Oscar Contender, ‘The Banker’"
31,2019-11-28,"Apple, Bowing to Russian Pressure, Recognizes Crimea Annexation on Map"
33,2019-11-22,The Apple Watch Series 5. A Love or Hate Relationship.
35,2019-11-21,Trump’s Bizarre Apple Factory Visit
37,2019-11-21,"Apple Pulls Samuel L. Jackson Movie From Festival, Citing ‘Concerns’"
38,2019-11-21,"No, That Mac Factory in Texas Is Not New"
39,2019-11-21,Trump Floats Tariff Exclusions for Apple at Texas Manufacturing Plant
43,2019-11-15,Apple to Ban Vaping Apps From Its Store
45,2019-11-14,Apple’s Reach Reshapes Medical Research
53,2019-11-04,Apple Commits $2.5 Billion to Ease California Housing Crunch
55,2019-11-01,Behind Apple’s ‘Slow-Roll’ Marketing Push for Its New Streaming Service
58,2019-10-30,Apple Offers Upbeat Forecast While Profit Continues to Fall
60,2019-10-30,Apple Enters Show Business With a Black-Carpet Premiere
62,2019-10-24,16 Useful Gems in Apple’s New iOS 13
67,2019-10-10,Apple Removes App That Helps Hong Kong Protesters Track the Police
68,2019-10-09,Chinese Media’s Attacks on Apple and N.B.A. Help Inflame Nationalism
72,2019-09-27,Apple Steps Into the Movie Business
74,2019-09-25,How to Make the Most of Apple’s New Privacy Tools in iOS 13
75,2020-01-02,"The Best Movies and TV Shows Coming to Netflix, Apple TV Plus and More in January"
76,2019-09-23,Apple Keeps Making Computer in Texas After Tariff Waivers
82,2019-09-17,IPhone 11 and 11 Pro Review: Thinking Differently in the Golden Age of Smartphones
85,2019-09-13,"Iger Departs Board of Apple, Disney’s New Streaming Competitor"
87,2019-09-11,Apple TV Plus Is Just $5. Will People Pay for It?
88,2019-09-11,The Last Apple Keynote (Let’s Hope)
89,2019-09-10,Apple’s iPhone 11 Has a New Feature: A Lower Price
92,2019-09-09,How Apple’s Apps Topped Rivals in the App Store It Controls
95,2019-11-10,Apple Card Investigated After Gender Discrimination Complaints
104,2019-10-15,Hong Kong Protesters Are Targeting Starbucks. Apple Could Be Next.
105,2019-12-01,"The Best Movies and TV Shows Coming to Netflix, Apple TV Plus and More in December"
107,2019-10-04,Disney Bars Netflix TV Ads in Battle for Streaming Supremacy
0,2020-06-10,5 on the Apple Watch at 5
6,2020-05-07,Your iPhone Costs Too Much
7,2020-05-06,Apple iPhone SE Review: A Superb Smartphone for a Humble Price
8,2020-04-30,Apple’s First-Quarter Sales Are Up Despite Coronavirus Slowdown
15,2020-04-21,Why Apple’s iPad Is the Gadget of the Pandemic
17,2020-04-15,Why Apple’s New Phone Doesn’t Matter
18,2020-04-15,"Apple, in a Virtual Unveiling, Introduces a $399 iPhone"
20,2020-04-10,Apple and Google Team Up to ‘Contact Trace’ the Coronavirus
22,2020-03-23,Trump Administration Gives Apple More Tariff Relief
26,2020-03-16,France Fines Apple $1.2 Billion for Antitrust Issues
27,2020-03-14,Apple Closes Most of Its Stores for 2 Weeks
28,2020-03-02,Apple Agrees to Pay Some iPhone Owners $25 Each
30,2020-02-21,The Week in Tech: Coronavirus Hits Apple’s Financial Forecast
33,2020-02-17,Apple Signals Coronavirus’s Threat to Global Businesses
44,2020-01-29,How the Coronavirus Could Hurt Apple and Starbucks
45,2020-01-28,New iPhones Fuel Strong Profit for Apple
50,2020-01-31,Richard Plepler and Josh Tyrangiel May Revive Their HBO Act for Apple
52,2020-02-12,"He’s Stared Down Activists and Apple, and Is Still in Charge"
96,2020-01-22,How Jeff Bezos’ iPhone X Was Hacked
121,2020-05-22,What Happened to the Great American Logistics Machine?
152,2020-02-04,A Peek Inside YouTube’s Money Machine
2,2020-10-25,"Apple, Google and a Deal That Controls the Internet"
6,2020-10-20,"Apple iPhone 12 Review: Superfast Speed, if You Can Find It"
15,2020-10-09,"Apple Does Not Need to Return Fortnite to App Store, Judge Rules"
17,2020-10-06,"12 Accusations in the Damning House Report on Amazon, Apple, Facebook and Google"
21,2020-09-28,Apple and Epic Games Spar Over Returning Fortnite to the App Store
23,2020-09-25,What Apple’s Fortnite Fee Battle Is Really About
24,2020-09-24,"To Fight Apple and Google, Smaller App Rivals Organize a Coalition"
27,2020-09-17,The New Apple Watch Measures Your Blood Oxygen. Now What?
29,2020-09-15,Apple Watch Is a Private Road
35,2020-09-01,Apple and Google to Make It Easier to Opt In to Virus Tracing
37,2020-08-31,Apple’s App War Needs Peace
39,2020-08-25,"To Fight Apple and Google’s Grip, Fortnite Creator Mounts a Crusade"
40,2020-08-20,Apple’s Trillions
41,2020-08-19,"Apple Reaches $2 Trillion, Punctuating Big Tech’s Grip"
46,2020-08-14,How Apple’s 30% App Store Cut Became a Boon and a Headache
49,2020-08-13,Fortnite Creator Sues Apple and Google After Ban From App Stores
52,2020-08-07,"Facebook Gaming Finally Clears Apple Hurdle, Arriving in App Store"
53,2020-08-04,Apple Replaces Phil Schiller as Its Top Marketing Executive
69,2020-07-28,Their Businesses Went Virtual. Then Apple Wanted a Cut.
71,2020-07-28,"Amazon, Apple, Facebook and Google Prepare for Their ‘Big Tobacco Moment’"
80,2020-07-15,Apple Scores Legal Victory Against $14.9 Billion E.U. Tax Demand
87,2020-06-29,The New York Times Pulls Out of Apple News
88,2020-06-23,Apple Announces New Privacy Features
89,2020-06-22,Apple to Ditch Intel Chips in Macs as It Consolidates Its Power
91,2020-06-19,"After 15 Years, Apple Prepares to Break Up With Intel"
92,2020-06-19,Is It Finally Hammer Time for Apple and Its App Store?
93,2020-06-18,"Apple Rejects Facebook’s Gaming App, for at Least the Fifth Time"
98,2020-06-16,Apple’s App Store Draws Antitrust Scrutiny in European Union
181,2020-11-04,Why the Social Media Rage Machine Won’t Stop
7,2021-02-18,There won’t be blood: Apple is making its syringe emoji a vaccine dose.
8,2021-02-16,North Dakota lawmakers vote down a bill that threatened Apple’s and Google’s revenues.
13,2021-01-28,Facebook Said to Consider Suing Apple Over App Store Practices
14,2021-01-27,Apple surpasses $100 billion in quarterly sales.
16,2021-01-27,What We Learned From Apple’s New Privacy Labels
19,2021-01-10,"Amazon, Apple and Google Cut Off Parler, an App That Drew Trump Supporters"
20,2021-01-09,"Parler Pitched Itself as Twitter Without Rules. Not Anymore, Apple and Google Said."
23,2020-12-18,Facebook’s Tone-Deaf Attack on Apple
26,2020-12-16,Facebook Takes the Gloves Off in Feud With Apple
33,2020-12-13,Apple TV Was Making a Show About Gawker. Then Tim Cook Found Out.
41,2020-12-01,Amazon and Apple Are Powering a Shift Away From Intel’s Chips
45,2020-11-19,"Apple, After Outcry, Makes ‘Peanuts’ Holiday Specials Available on PBS"
46,2020-11-18,Apple Halves Its App Store Fee for the Smaller Companies
48,2020-11-10,Apple Introduces New Macs With the First Apple Chips
49,2020-11-09,Apple Puts Key Contractor on Probation Over Labor Abuses in China
0,2021-08-20,Apple delays its return to office until January.
1,2021-08-20,Why Apple Is About To Search Your Files
2,2021-08-23,Apple and Google’s Fight in Seoul Tests Biden in Washington
3,2021-08-19,Apple’s Illusion of Privacy Is Getting Harder to Sell
4,2021-08-18,Are Apple’s Tools Against Child Abuse Bad for Your Privacy?
6,2021-08-11,Apple Wants to Protect Children. But It’s Creating Serious Privacy Risks.
7,2021-08-11,The Lesson to Learn From Apple’s Tool to Flag Child Sex Abuse
9,2021-08-05,Apple’s iPhones Will Include New Tools to Flag Child Sexual Abuse
11,2021-07-28,Apple will require masks for customers and employees in many U.S. stores.
14,2021-07-27,Apple’s profits nearly doubled in the latest quarter.
17,2021-07-20,Apple delays its return to office as the Delta variant surges.
18,2021-07-20,Can Apple’s AirTags Find Lost Pets?
23,2021-06-29,Apple’s Strategy Bends the World
30,2021-06-17,What to Know About Apple and China
31,2021-06-17,He Warned Apple About the Risks in China. Then They Became Reality.
34,2021-06-14,Apple’s Bet on China
37,2021-06-13,Apple Is Said to Have Turned Over Data on Trump’s White House Counsel in 2018
45,2021-06-09,What to Know About the Newest iPhone and Android Software
46,2021-06-07,"Apple unveils new privacy features, digital IDs and changes to FaceTime."
47,2021-06-07,Why All the Fury at Apple?
50,2021-05-27,Virus alert apps powered by Apple and Google have had limited success.
51,2021-05-27,Why Apple and Google’s Virus Alert Apps Had Limited Success
52,2021-05-26,The Apple Tax Is Rotten
53,2021-05-25,The Epic Case Against Apple Wraps Up
54,2021-05-24,Apple’s Fortnite Trial Ends With Pointed Questions and a Toast to Popeyes
55,2021-05-21,"In Antitrust Trial, Tim Cook Argues Apple Doesn’t Hurt App Makers"
60,2021-05-18,Apple’s Bargain in China
61,2021-05-17,Apple’s Compromises in China: 5 Takeaways
62,2021-05-17,"Censorship, Surveillance and Profits: A Hard Bargain for Apple in China"
63,2021-05-13,The Apple and Amazon Side Hustles
66,2021-05-03,Apple and Epic Trial Opens With a Tour of the Fortnite ‘Metaverse’
67,2021-05-03,Apple and Epic Games head to court over app revenue.
68,2021-05-02,Apple and Epic Head to Court Over Their Slices of the App Pie
71,2021-04-30,Apple’s App Store Draws E.U. Antitrust Charge
73,2021-04-28,Apple doubles its profits on soaring iPhone sales.
75,2021-04-28,Apple AirTag Review: A Humble Tracker With Next-Generation Tech
77,2021-04-26,Apple will increase its spending in the United States by 20 percent.
78,2021-04-26,What’s Behind the Apple-Facebook Feud?
80,2021-04-26,To Be Tracked or Not? Apple Is Now Giving Us the Choice.
85,2021-04-19,Apple says Parler can return to iPhones after the app makes some changes.
88,2021-04-20,Apple’s New Devices Target Markets Led by Smaller Rivals
90,2021-04-05,Apple’s C.E.O. Is Making Very Different Choices From Mark Zuckerberg
0,2022-01-05,The Meaning of Apple at $3 Trillion
2,2022-01-03,Apple Becomes First Company to Hit $3 Trillion Market Value
3,2021-12-30,Are Apple AirTags Being Used to Track People and Steal Cars?
4,2021-12-27,About 20 Apple stores are now closed as the Omicron variant surges.
7,2021-12-15,Apple has a new return to office date: indefinite.
10,2021-12-08,"Apple can delay changes to App Store rules, appeals court says."
13,2021-11-23,"Apple Sues Israeli Spyware Maker, Seeking to Block Its Access to iPhones"
15,2021-11-17,What Apple’s New Repair Program Means for You (and Your iPhone)
16,2021-11-10,Judge denies Apple’s request to delay App Store changes.
17,2021-11-09,"Tim Cook has invested in cryptocurrency personally, but Apple has no plans to do so."
22,2021-11-02,Another Apple Worker Says the Company Retaliated Against Her
23,2021-10-29,Apple’s Most Back-Ordered New Product Is Not What You Expect
25,2021-10-25,Google Pixel 6 Review: Playing Catch-Up With the iPhone
26,2021-10-21,Snapchat’s shares plunge after it says Apple’s privacy changes hurt its ad business.
29,2021-10-18,Apple unveils new MacBook computers and updated AirPods.
31,2021-10-15,Leader of Apple activism movement says she was fired.
32,2021-10-15,Cybersecurity Experts Sound Alarm on Apple and E.U. Phone Scanning Plans
34,2021-10-08,Apple Appeals App Store Ruling in Fight With Epic Games
40,2021-09-23,"In a setback for Apple, the European Union seeks a common charger for all phones."
43,2021-09-21,Apple iPhone 13 Review: The Most Incremental Upgrade Ever
45,2021-09-17,Tim Cook Faces Surprising Employee Unrest at Apple
46,2021-09-17,"Google and Apple, Under Pressure From Russia, Remove Voting App"
48,2021-09-16,Apple and Facebook Are Coming for Your Face Next
51,2021-09-14,The new Apple Watch once again emphasizes fitness.
52,2021-09-14,"Apple’s new iPhone 13 is better, but not by much."
53,2021-09-14,"Prices for new iPhones, iPads and Apple Watches are mostly unchanged."
54,2021-09-14,"Apple holds event to introduce new iPhones, iPads and other gadgets."
55,2021-09-14,The iPad lineup gets a revamp.
56,2021-09-13,Apple Issues Emergency Security Updates to Close a Spyware Flaw
57,2021-09-13,Why Apple Didn’t Lose in the Epic Games Ruling
58,2021-09-13,How to Fix Your iPhone’s Security Flaw
59,2021-09-11,A Nick to Apple’s Profits Could Be a Windfall for App Developers
60,2021-09-10,Judge Orders Apple to Ease Restrictions on App Developers
64,2021-09-03,Apple delays the rollout of child-safety features over privacy concerns.
65,2021-09-03,What is Apple Thinking?
66,2021-09-02,Apple Gives Ground in a Strategic Retreat From Strict App Store Rules
67,2021-09-02,Apple Has New Tools to Protect Children. But at What Cost?
68,2021-09-02,Apple plans another tweak to its strict app store rules.
69,2021-08-31,South Korea forces Google and Apple to allow third-party in-app payments.
72,2021-08-27,Why Apple Won Its Legal Settlement With Developers
73,2021-08-27,Apple’s Shrewd App Store Settlement
74,2021-08-27,Apple Avoids Another Legal Fight With App Developers
0,2022-06-06,Apple unveils new software to make the iPhone and other products feel new.
1,2022-06-04,Apple Starts Connecting the Dots for Its Next Big Thing
6,2022-05-29,Apple Store Showdown: Inside the Battle for Union Representation
7,2022-05-01,"Apple Inc., ‘After Steve’"
8,2022-05-25,I Tried Apple’s Self-Repair Program With My iPhone. Disaster Ensued.
12,2022-05-17,Apple Delays and Modifies Its Return to Office Plans
16,2022-05-05,Online Deciders Like Apple Have a Point
17,2022-05-02,Apple faces E.U. antitrust charges over Apple Pay.
18,2022-05-01,How Technocrats Triumphed at Apple
19,2022-04-28,"Apple’s growth slows, but still beats Wall Street’s expectations."
24,2022-04-20,Apple Store workers in Atlanta are the first to formally seek a union.
25,2022-04-19,Apple’s Zipped Lips on Chips
30,2022-03-31,It’s Scary How Dominant Apple Has Become. But How Scary?
31,2022-03-29,Apple and the Streaming Mirage
32,2022-03-26,Arizona Offers Driver’s Licenses on iPhones. Other States Want to Be Next.
36,2022-03-21,"How Apple, Not Government, Became Tech’s Biggest Regulator"
